Year,rank,player,team_ID,points_won,first_place_votes,share,WAR,G,AB,R,H,HR,RBI,SB,BB,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging
2023,4,Matt Olson (2023),ATL,223,0,53%,7.5,162,608,127,172,54,139,1,104,0.283,0.389,0.604,0.993
2023,5,Corbin Carroll (2023),ARI,165,0,39%,5.3,155,565,116,161,25,76,54,57,0.285,0.362,0.506,0.868
2023,6,Juan Soto (2023),SDP,106,0,25%,5.3,162,568,97,156,35,109,12,132,0.275,0.41,0.519,0.93
2023,7,Austin Riley (2023),ATL,68,0,16%,6,159,636,117,179,37,97,3,59,0.281,0.345,0.516,0.861
2023,8,Luis Arraez (2023),MIA,67,0,16%,4.6,147,574,71,203,10,69,3,35,0.354,0.393,0.469,0.861
2023,9,Francisco Lindor (2023),NYM,52,0,12%,6.1,160,602,108,153,31,98,31,66,0.254,0.336,0.47,0.806
2023,10,Cody Bellinger (2023),CHC,49,0,12%,4.8,130,499,95,153,26,97,20,40,0.307,0.356,0.525,0.881
2023,11,William Contreras (2023),MIL,39,0,9%,3.7,141,540,86,156,17,78,6,63,0.289,0.367,0.457,0.825
2023,12,Bryce Harper (2023),PHI,36,0,9%,3.6,126,457,84,134,21,72,11,80,0.293,0.401,0.499,0.9
2023,14,Ha-Seong Kim (2023),SDP,5,0,1%,5.4,152,538,84,140,17,60,38,75,0.26,0.351,0.398,0.749
2023,14,Fernando Tatis Jr. (2023),SDP,5,0,1%,5.2,141,575,91,148,25,78,29,53,0.257,0.322,0.449,0.77
2023,16,Ozzie Albies (2023),ATL,4,0,1%,5,148,596,96,167,33,109,13,46,0.28,0.336,0.513,0.849
2023,17,Pete Alonso (2023),NYM,3,0,1%,3.3,154,568,92,123,46,118,4,65,0.217,0.318,0.504,0.821
2023,19,Marcell Ozuna (2023),ATL,2,0,0%,3.4,144,530,84,145,40,100,0,57,0.274,0.346,0.558,0.905
2023,19,Kyle Schwarber (2023),PHI,2,0,0%,0.7,160,585,108,115,47,104,0,126,0.197,0.343,0.474,0.817
2023,19,Dansby Swanson (2023),CHC,2,0,0%,5.2,147,565,81,138,22,80,9,66,0.244,0.328,0.416,0.744
2023,23,Nick Castellanos (2023),PHI,1,0,0%,1.5,157,626,79,170,29,106,11,36,0.272,0.311,0.476,0.788
2023,23,TJ Friedl (2023),CIN,1,0,0%,3.6,138,488,73,136,18,66,27,47,0.279,0.352,0.467,0.819
2023,23,Christian Walker (2023),ARI,1,0,0%,3.7,157,582,86,150,33,103,11,62,0.258,0.333,0.497,0.83
2024,1,Shohei Ohtani (2024),LAD,420,30,100%,9,159,636,134,197,54,130,59,81,0.31,0.39,0.646,1.036
2024,2,Francisco Lindor (2024),NYM,263,0,63%,6.8,152,618,107,169,33,91,29,56,0.273,0.344,0.5,0.844
2024,3,Ketel Marte (2024),ARI,229,0,55%,6.8,136,504,93,147,36,95,7,65,0.292,0.372,0.56,0.932
2024,4,Marcell Ozuna (2024),ATL,134,0,32%,4.3,162,606,96,183,39,104,1,74,0.302,0.378,0.546,0.925
2024,5,William Contreras (2024),MIL,132,0,31%,5,155,595,99,167,23,92,9,78,0.281,0.365,0.466,0.831
2024,6,Bryce Harper (2024),PHI,130,0,31%,4.6,145,550,85,157,30,87,7,76,0.285,0.373,0.525,0.898
2024,8,Elly De La Cruz (2024),CIN,89,0,21%,5.2,160,618,105,160,25,76,67,69,0.259,0.339,0.471,0.809
2024,9,Jackson Merrill (2024),SDP,57,0,14%,4.5,156,554,77,162,24,90,16,29,0.292,0.326,0.5,0.826
2024,10,Willy Adames (2024),MIL,54,0,13%,3.2,161,610,93,153,32,112,21,74,0.251,0.331,0.462,0.794
2024,11,Matt Chapman (2024),SFG,37,0,9%,7.1,154,575,98,142,27,78,15,64,0.247,0.328,0.463,0.79
2024,13,Mookie Betts (2024),LAD,24,0,6%,4.6,116,450,75,130,19,75,16,61,0.289,0.372,0.491,0.863
2024,14,Jurickson Profar (2024),SDP,23,0,5%,3.6,158,564,94,158,24,85,10,76,0.28,0.38,0.459,0.839
2024,15,Kyle Schwarber (2024),PHI,15,0,4%,3.3,150,573,110,142,38,104,5,106,0.248,0.366,0.485,0.851
2024,16,Manny Machado (2024),SDP,12,0,3%,3.1,152,593,77,163,29,105,11,45,0.275,0.325,0.472,0.797
2024,17,Freddie Freeman (2024),LAD,6,0,1%,4.5,147,542,81,153,22,89,9,78,0.282,0.378,0.476,0.854
